Mixture	Fetal Mesenchymal Stem Cells	CD14+ Monocytes	CD8+ Activated T Cells	Naive CD4+ T Cells	Naive CD8+ T Cells	Natural Killer T Cells	B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Cytotrophoblast	Fetal Nucleated Red Blood Cells	Maternal FCGR3A+ Monocytes	Maternal Plasma Cells	Fetal Extravillous Trophoblasts	P-value	Correlation	RMSE
SCP4073	0.16428474855153138	0.01894478035842933	0.00000000000000000	0.00000000000000000	0.13589097743939665	0.10476243223497882	0.02417470745395853	0.00000000000000000	0.07990944148805700	0.05567561499658343	0.00224693465386157	0.00425710894545406	0.08477627705448913	0.04562208337264657	0.00810025428258593	0.16174631084694022	0.00116231608900541	0.00000000000000000	0.00000000000000000	0.10844601223208193	0.00000000000000000	0.96427049284964461	0.82587735373420967
SCP4139	0.13188454933792543	0.03683343430543407	0.00000000000000000	0.00000000000000000	0.05430259099345244	0.04286881825596440	0.02347290252169447	0.00000000000000000	0.06397736586271821	0.06710276395635498	0.00000000000000000	0.04135031655515437	0.07533331217413812	0.01093802124708976	0.02619996224897260	0.06861327665981039	0.00000000000000000	0.00959790469584935	0.00000000000000000	0.34752478118544144	0.00000000000000000	0.89483799120509555	0.90269671666798446
SCP4154	0.05406916860159843	0.04215076579476203	0.00000000000000000	0.00000000000000000	0.11087438142543100	0.08334433733809790	0.03838593162723569	0.00000000000000000	0.07736883146835587	0.02152813131793688	0.03287585289826149	0.00000000000000000	0.03829714413488270	0.07027905773740988	0.00227568503130887	0.31186248041321124	0.00016040244080083	0.00000000000000000	0.00344499126667205	0.11308283850403524	0.00000000000000000	0.95056976448087016	0.75304240017445290
SCP4164	0.17678674106011436	0.03252979138895890	0.00000000000000000	0.00000000000000000	0.12378979659109625	0.09092254795360480	0.04881398774897906	0.00000000000000000	0.11319682941893919	0.04886951586990453	0.00000000000000000	0.00000000000000000	0.08704565053084572	0.05786428116914381	0.01797965094805680	0.09787272735352222	0.00098326235156314	0.01601313729671404	0.00000000000000000	0.08733208031855708	0.00000000000000000	0.98318576252677081	0.78677216533657968
SCP4378	0.13381025399808835	0.02842735096559820	0.00000000000000000	0.00000000000000000	0.11087294026652697	0.06785093341366011	0.01343647493420096	0.00000000000000000	0.06559923108893347	0.05279084046821416	0.00000000000000000	0.00147860485110843	0.13043222831909998	0.02786580654252751	0.06782797583327722	0.27230336346434936	0.00152948318506217	0.00721911807660000	0.00000000000000000	0.01855539459275321	0.00000000000000000	0.96368359559309402	0.89189086309739263
SCP4536	0.11417546554403196	0.04146046189671275	0.00000000000000000	0.00000000000000000	0.10488627494001829	0.04644296865627100	0.01205094044491387	0.00000000000000000	0.12165431787362084	0.03377084841538563	0.00000000000000000	0.00756161226950482	0.04421293287128188	0.01846512703434477	0.01500217423517793	0.10716325428082839	0.00147735531508994	0.01551686474834799	0.00000000000000000	0.31615940147446991	0.00000000000000000	0.93373480727070302	0.88196839617842815
SCP4538	0.11635716885441552	0.01733663010978705	0.00000000000000000	0.00000000000000000	0.15328732878193083	0.07779607248130371	0.03105242310002114	0.00564447239109941	0.00656647133051419	0.05607004674225228	0.00372347371857966	0.00000000000000000	0.06583637047208506	0.08717794228966094	0.01952619599109856	0.23382156847555940	0.00012475752971459	0.00000000000000000	0.00000000000000000	0.12567907773197765	0.00000000000000000	0.97119170889048301	0.69076556011190171
SCP4706	0.09870189346090950	0.01905363377056573	0.00000000000000000	0.00000000000000000	0.13369543661752770	0.08601992898065479	0.02561968117783657	0.00000000000000000	0.06428881496950598	0.05781099183705771	0.00000000000000000	0.00000000000000000	0.06289812610889213	0.07204486329423913	0.02640081430551027	0.30617429309843208	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04729152237886844	0.00000000000000000	0.96982221310770211	0.74967737569667137
SCP4726	0.07607814782212588	0.01675372532167646	0.00000000000000000	0.00000000000000000	0.19845160044463253	0.06004624536908842	0.03823648136826209	0.00000000000000000	0.06800835223893030	0.02731079539718024	0.00000000000000000	0.00000000000000000	0.05729353547579106	0.07832289520151142	0.01771578273156150	0.27537870406926501	0.00163433118584968	0.00000000000000000	0.00000000000000000	0.08476940337412518	0.00000000000000000	0.98022601945291354	0.72002419266805717
SCP4733	0.12593306035571444	0.04116846155172873	0.00000000000000000	0.00000000000000000	0.09801681450446402	0.07413258318782384	0.06625553938432453	0.05398613480652580	0.00666878393818269	0.02039743693408208	0.01012553777382282	0.00000000000000000	0.06174617850960450	0.10954884906039626	0.01306580298456939	0.27485042022033634	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04410439678842467	0.00000000000000000	0.94296790444574752	0.65047924581427063
SCP4748	0.16214138102359291	0.03437373684288954	0.00000000000000000	0.00000000000000000	0.14617265847992064	0.04909141638893673	0.05079388183758703	0.00000000000000000	0.06828447672516749	0.05266563192496678	0.00000000000000000	0.00000000000000000	0.11860066146101018	0.04756600282866572	0.03143211075234742	0.15403563914630419	0.00115966640773687	0.00000000000000000	0.00000000000000000	0.08368273618087452	0.00000000000000000	0.97380004950027954	0.82052320609870499
STP0016	0.11036138658276280	0.00977927112708358	0.00000000000000000	0.00000000000000000	0.25592115153032230	0.05219660891681094	0.00000000000000000	0.00316249825911264	0.03249237696549205	0.14361120256463325	0.00000000000000000	0.00000000000000000	0.04998480660450602	0.06924133179703434	0.02254950599272996	0.16293769192621330	0.00385875844774761	0.04975465715292816	0.00000000000000000	0.03414875213262308	0.00000000000000000	0.96510997050549929	0.75914573082030568
STP0023	0.08776664860273829	0.03074403691479246	0.00000000000000000	0.00000000000000000	0.17987532570355674	0.06345262048507568	0.03010631921116843	0.00000000000000000	0.06700125496537027	0.06553703607876725	0.00005093820823378	0.00000000000000000	0.08082092620437452	0.06475509258265345	0.04348567636948811	0.22312743794522749	0.00240592418269311	0.00000000000000000	0.00000000000000000	0.06087076254586038	0.00000000000000000	0.98795886594437410	0.76453441089286034
STP0230	0.14410955100666548	0.02136021399701357	0.00000000000000000	0.00000000000000000	0.09894213074370321	0.06414269656089275	0.00000000000000000	0.00000000000000000	0.06852625605687851	0.11222161141509071	0.00000000000000000	0.00000000000000000	0.12626685375841951	0.00712172126477394	0.11448012663555447	0.17404486651051396	0.01369549929518697	0.03279629736516732	0.00128125779715061	0.02101091759298911	0.00000000000000000	0.87355929156591527	0.93930836531465456
STP0275	0.06899923846401267	0.01388942146225209	0.00000000000000000	0.00000000000000000	0.21863855889867334	0.04092731421925346	0.01836980429171825	0.02961126706907932	0.00000000000000000	0.05056550830133828	0.00000000000000000	0.00000000000000000	0.02251131725636542	0.15387077134219132	0.08219495053225646	0.20658455662792280	0.00269959674971414	0.00000000000000000	0.00000000000000000	0.09113769478522242	0.00000000000000000	0.98524287961245005	0.47866387917688313
STP0282	0.16607617429298327	0.01984685086841448	0.01182209510441642	0.00000000000000000	0.08558595168791583	0.05720075868645132	0.01760337858470726	0.00865355843213363	0.00000000000000000	0.12373463516062690	0.00000000000000000	0.00000000000000000	0.08617575266321074	0.09492065004681736	0.04724898660495080	0.18474181316197202	0.00430406934280414	0.02774089537096570	0.00000000000000000	0.06434442999162997	0.00000000000000000	0.98833540400274589	0.66691270284953996
STP0582	0.17090768308679286	0.01706732577105538	0.00000000000000000	0.00000000000000000	0.12240450181493644	0.08610695999602394	0.02397341608886293	0.00000000000000000	0.02825703297891475	0.08939831646083074	0.00238152638879606	0.00000000000000000	0.07133609618347658	0.08375933214330648	0.01593346021401404	0.21783804298481105	0.00279195275284744	0.00000000000000000	0.00000000000000000	0.06784435313533117	0.00000000000000000	0.96073739304530004	0.71434045441720595
