Geneid	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP3954_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP4733_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0148_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0596_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0932_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP1206_marked_duplicates.bam
ENSG00000235263.1	0	0	0	0	0	0
ENSG00000171612.6	36	11	154	25	13	18
ENSG00000231181.1	0	1	0	0	0	0
ENSG00000188807.12	46	23	106	28	35	21
ENSG00000171608.15	198	30	138	160	51	46
ENSG00000179840.5	1	0	0	3	0	1
ENSG00000233268.3	0	1	0	0	0	0
ENSG00000231789.2	0	2	7	3	0	1
ENSG00000171603.17	1361	678	1861	888	825	670
ENSG00000271264.1	0	0	0	0	0	0
ENSG00000280113.2	1	0	0	1	1	0
ENSG00000178585.14	385	86	422	196	132	166
ENSG00000223989.1	0	0	0	0	0	0
ENSG00000285701.1	6	0	1	1	3	1
ENSG00000162441.11	390	152	608	214	160	218
ENSG00000228150.1	2	1	0	0	0	0
ENSG00000173614.13	142	34	283	82	56	98
ENSG00000202415.1	1	0	2	0	1	1
ENSG00000283611.2	0	0	0	0	0	0
ENSG00000265521.1	0	0	0	0	0	0
ENSG00000241326.1	0	0	0	0	0	0
ENSG00000162444.11	65	3	100	41	4	13
ENSG00000130939.18	959	507	1780	629	499	492
ENSG00000224340.1	4	0	1	0	0	0
ENSG00000233623.2	2	1	0	0	1	0
ENSG00000201746.1	0	0	0	0	0	0
ENSG00000054523.17	1295	481	894	723	533	435
ENSG00000264881.1	0	0	0	0	0	0
ENSG00000199562.1	0	0	0	0	0	0
ENSG00000264501.2	0	0	0	0	0	0
ENSG00000284735.1	4	1	0	0	3	2
ENSG00000284642.1	3	1	2	2	2	0
ENSG00000142657.20	751	191	2107	552	212	213
ENSG00000271989.1	0	0	0	0	0	0
ENSG00000251503.8	0	0	0	1	0	0
ENSG00000175279.21	12	3	23	5	3	4
